Frequency_Hz,SPL_dB,BPF_Ratio
4340.0,-85.51698,18.6
4351.667,-82.36747,18.650002
4363.3335,-89.412476,18.7
4375.0,-91.067055,18.75
4386.667,-89.14864,18.800001
4398.3335,-86.8158,18.85
4410.0,-87.85983,18.9
4421.667,-94.69295,18.950003
4433.3335,-70.33739,19.000002
4445.0,-82.54764,19.050001
4456.667,-77.10599,19.100002
4468.3335,-81.479904,19.150002
4480.0,-82.49004,19.2
4491.667,-76.40739,19.250002
4503.3335,-85.04642,19.300001
4515.0,-78.49255,19.35
4526.667,-79.569275,19.400002
4538.3335,-81.642265,19.45
4550.0,-79.619896,19.5
4561.667,-85.90438,19.550001
4573.3335,-82.57721,19.6
4585.0,-85.756424,19.65
4596.667,-93.79527,19.700003
4608.3335,-93.15416,19.750002
4620.0,-91.23928,19.800001
4631.667,-92.05536,19.850002
4643.3335,-87.332306,19.900002
4655.0,-81.73661,19.95
4666.667,-66.48442,20.000002
4678.3335,-84.50928,20.050001
4690.0,-79.279564,20.1
4701.667,-87.53655,20.150002
4713.3335,-88.56662,20.2
4725.0,-85.22559,20.25
4736.667,-97.2546,20.300001
4748.3335,-83.68703,20.35
4760.0,-85.38268,20.4
4771.667,-82.92014,20.450003
4783.3335,-84.65111,20.500002
4795.0,-84.39327,20.550001
4806.667,-84.29205,20.600002
4818.3335,-89.9572,20.650002
4830.0,-82.28012,20.7
4841.667,-82.87558,20.750002
4853.3335,-77.607185,20.800001
4865.0,-77.68303,20.85
4876.667,-76.88978,20.900002
4888.3335,-79.205826,20.95
4900.0,-56.465042,21.0
4911.667,-74.74567,21.050001
4923.3335,-78.03509,21.1
4935.0,-77.53617,21.15
4946.667,-88.600006,21.200003
4958.3335,-83.52135,21.250002
4970.0,-87.09037,21.300001
4981.667,-105.668144,21.350002
4993.3335,-89.77833,21.400002
5005.0,-93.210075,21.45
5016.667,-84.315445,21.500002
5028.3335,-82.49753,21.550001
5040.0,-81.656456,21.6
5051.667,-86.59138,21.650002
5063.3335,-99.70601,21.7
5075.0,-94.70143,21.75
5086.667,-81.229965,21.800001
5098.3335,-79.52934,21.85
5110.0,-100.34909,21.9
5121.667,-78.05446,21.950003
5133.3335,-53.57452,22.000002
5145.0,-76.35456,22.050001
5156.667,-79.37917,22.100002
5168.3335,-79.763245,22.150002
5180.0,-84.29924,22.2
5191.667,-81.4069,22.250002
5203.3335,-86.03271,22.300001
5215.0,-90.379196,22.35
5226.667,-79.84793,22.400002
5238.3335,-91.01829,22.45
5250.0,-81.94876,22.5
5261.667,-79.41936,22.550001
5273.3335,-77.04382,22.6
5285.0,-81.47833,22.65
5296.667,-86.40717,22.700003
5308.3335,-82.043465,22.750002
5320.0,-75.002975,22.800001
5331.667,-85.08046,22.850002
5343.3335,-80.23757,22.900002
5355.0,-81.68641,22.95
5366.667,-53.372765,23.000002
5378.3335,-73.91389,23.050001
5390.0,-80.87544,23.1
5401.667,-80.97423,23.150002
5413.3335,-90.31569,23.2
5425.0,-81.89773,23.25
5436.667,-99.51288,23.300001
5448.3335,-81.04526,23.35
5460.0,-84.80065,23.4
5471.667,-84.028694,23.450003
5483.3335,-80.120636,23.500002
5495.0,-82.70343,23.550001
5506.667,-80.34378,23.600002
5518.3335,-88.019905,23.650002
5530.0,-81.29889,23.7
5541.667,-84.49487,23.750002
5553.3335,-82.84878,23.800001
5565.0,-86.38255,23.85
5576.667,-80.82341,23.900002
5588.3335,-79.99871,23.95
5600.0,-54.32702,24.0
5611.667,-86.72932,24.050001
5623.3335,-77.02804,24.1
5635.0,-89.362564,24.15
5646.667,-77.38528,24.200003
5658.3335,-68.944565,24.250002
5670.0,-68.4012,24.300001
5681.667,-66.02227,24.350002
5693.3335,-83.811584,24.400002
5705.0,-76.779274,24.45
5716.667,-78.556755,24.500002
5728.3335,-92.13481,24.550001
5740.0,-83.201744,24.6
5751.667,-91.8306,24.650002
5763.3335,-86.25493,24.7
5775.0,-83.04818,24.75
5786.667,-81.32064,24.800001
5798.3335,-93.77367,24.85
5810.0,-81.21039,24.9
5821.667,-84.03792,24.950003
5833.3335,-55.877476,25.000002
5845.0,-80.7116,25.050001
5856.667,-83.00858,25.100002
5868.3335,-80.06428,25.150002
5880.0,-87.86442,25.2
5891.667,-86.7757,25.250002
5903.3335,-84.22681,25.300001
5915.0,-85.88489,25.35
5926.667,-87.99732,25.400002
5938.3335,-84.3286,25.45
5950.0,-78.81102,25.5
5961.667,-80.9785,25.550001
5973.3335,-83.56421,25.6
5985.0,-88.06057,25.65
5996.667,-78.5948,25.700003
6008.3335,-76.40141,25.750002
6020.0,-92.84264,25.800001
6031.667,-77.60048,25.850002
6043.3335,-75.697365,25.900002
6055.0,-79.100784,25.95
6066.667,-57.497284,26.000002
6078.3335,-77.02928,26.050001
6090.0,-89.00571,26.1
6101.667,-78.345146,26.150002
6113.3335,-72.11722,26.2
6125.0,-71.17713,26.25
6136.667,-67.31307,26.300001
6148.3335,-68.50256,26.35
6160.0,-77.130844,26.400002
6171.667,-79.83216,26.450003
6183.3335,-77.79028,26.500002
6195.0,-91.23493,26.550001
6206.667,-86.36891,26.600002
6218.3335,-78.38315,26.650002
6230.0,-80.54759,26.7
6241.667,-78.9539,26.750002
6253.3335,-75.8204,26.800001
6265.0,-78.98965,26.85
6276.667,-75.52048,26.900002
6288.3335,-73.071815,26.95
6300.0,-55.77351,27.0
6311.667,-81.2525,27.050001
6323.3335,-80.54707,27.1
6335.0,-94.28952,27.150002
6346.667,-78.201836,27.200003
6358.3335,-81.826164,27.250002
6370.0,-86.93924,27.300001
6381.667,-78.30641,27.350002
6393.3335,-80.96352,27.400002
6405.0,-76.298965,27.45
6416.667,-74.44283,27.500002
6428.3335,-78.97455,27.550001
6440.0,-70.92996,27.6
6451.667,-79.23219,27.650002
6463.3335,-69.818245,27.7
6475.0,-62.259903,27.75
6486.667,-61.939087,27.800001
6498.3335,-60.626034,27.85
6510.0,-63.24163,27.900002
6521.667,-69.86527,27.950003
6533.3335,-53.905277,28.000002
6545.0,-75.63572,28.050001
6556.667,-79.67296,28.100002
6568.3335,-72.84567,28.150002
6580.0,-78.58813,28.2
6591.667,-79.569,28.250002
6603.3335,-78.76191,28.300001
6615.0,-81.59878,28.35
6626.667,-84.05105,28.400002
6638.3335,-77.3208,28.45
6650.0,-89.98204,28.5
6661.667,-72.30764,28.550001
6673.3335,-74.88698,28.6
6685.0,-115.20714,28.650002
6696.667,-80.718346,28.700003
6708.3335,-86.00119,28.750002
6720.0,-77.19565,28.800001
6731.667,-88.071526,28.850002
6743.3335,-79.0238,28.900002
6755.0,-76.07065,28.95
6766.667,-51.250412,29.000002
6778.3335,-76.492,29.050001
6790.0,-70.568115,29.1
6801.667,-72.44205,29.150002
6813.3335,-76.92941,29.2
6825.0,-72.75701,29.25
6836.667,-70.03755,29.300001
6848.3335,-71.6722,29.350002
6860.0,-71.68248,29.400002
6871.667,-72.27408,29.450003
6883.3335,-70.09076,29.500002
6895.0,-77.36031,29.550001
