Frequency_Hz,SPL_dB,BPF_Ratio
6261.1113,-10.040365,26.833334
6274.074,-10.754656,26.88889
6287.037,-12.779722,26.944445
6300.0,-12.8937645,27.0
6312.963,-11.819326,27.055555
6325.926,-11.677443,27.11111
6338.889,-13.551284,27.166668
6351.852,-11.669035,27.222223
6364.815,-9.986236,27.277779
6377.778,-10.510064,27.333334
6390.7407,-10.64563,27.38889
6403.7036,-10.322185,27.444445
6416.6665,-10.185985,27.5
6429.63,-11.974889,27.555557
6442.593,-11.519746,27.611113
6455.5557,-10.015797,27.666668
6468.5186,-9.801281,27.722223
6481.4814,-10.604189,27.777779
6494.4443,-11.994468,27.833334
6507.4077,-11.2107315,27.888891
6520.3706,-10.567055,27.944447
6533.3335,-10.767484,28.000002
6546.2964,-11.864775,28.055557
6559.2593,-10.91242,28.111113
6572.222,-9.795713,28.166668
6585.185,-11.410677,28.222221
6598.1484,-12.510758,28.27778
6611.1113,-10.904579,28.333334
6624.074,-10.461781,28.38889
6637.037,-11.174961,28.444445
6650.0,-10.840151,28.5
6662.963,-9.850582,28.555555
6675.926,-10.13138,28.61111
6688.889,-11.149948,28.666668
6701.852,-10.972988,28.722223
6714.815,-9.8371105,28.777779
6727.778,-9.5148,28.833334
6740.7407,-10.05094,28.88889
6753.7036,-10.601866,28.944445
6766.6665,-10.313787,29.0
6779.63,-9.319321,29.055557
6792.593,-9.799299,29.111113
6805.5557,-9.650004,29.166668
6818.5186,-8.83373,29.222223
6831.4814,-8.341204,29.277779
6844.4443,-8.905105,29.333334
6857.4077,-9.765645,29.388891
6870.3706,-9.495623,29.444447
6883.3335,-10.099877,29.500002
6896.2964,-11.160378,29.555557
6909.2593,-11.19821,29.611113
6922.222,-10.230898,29.666668
6935.185,-10.142607,29.722221
6948.1484,-10.793083,29.77778
6961.1113,-11.157947,29.833334
6974.074,-10.743293,29.88889
6987.037,-10.182165,29.944445
7000.0,-10.828505,30.0
7012.963,-11.495744,30.055555
7025.926,-10.672959,30.11111
7038.889,-10.566173,30.166668
7051.852,-11.764468,30.222223
7064.815,-12.060287,30.277779
7077.778,-11.243555,30.333334
7090.7407,-11.467669,30.38889
7103.7036,-12.2162285,30.444445
7116.6665,-11.751775,30.5
7129.63,-11.295353,30.555557
7142.593,-12.124096,30.611113
7155.5557,-12.412817,30.666668
7168.5186,-12.2106495,30.722223
7181.4814,-11.53751,30.777779
7194.4443,-11.350545,30.833334
7207.4077,-11.626841,30.888891
7220.3706,-11.815884,30.944447
7233.3335,-11.261882,31.000002
7246.2964,-10.762907,31.055557
7259.2593,-11.630907,31.111113
7272.222,-11.656307,31.166668
7285.185,-10.702868,31.222223
7298.1484,-10.60339,31.27778
7311.1113,-11.327963,31.333336
7324.074,-11.480965,31.38889
7337.037,-11.046876,31.444445
7350.0,-11.636485,31.5
7362.963,-12.025469,31.555555
7375.926,-11.201333,31.61111
7388.889,-10.916513,31.666668
7401.852,-10.899278,31.722223
7414.815,-11.292895,31.777779
7427.778,-10.743383,31.833334
7440.7407,-10.459075,31.88889
7453.7036,-10.174572,31.944445
7466.667,-10.777106,32.000004
7479.63,-10.908268,32.055557
7492.593,-10.344714,32.11111
7505.5557,-10.316094,32.166668
7518.5186,-11.061178,32.22222
7531.4814,-11.274871,32.27778
7544.4443,-10.543777,32.333332
7557.4077,-10.933874,32.38889
7570.3706,-10.955726,32.444447
7583.3335,-10.144888,32.5
7596.2964,-10.079967,32.555557
7609.2593,-10.510778,32.61111
7622.222,-10.788166,32.666668
7635.185,-10.519449,32.72222
7648.1484,-10.665279,32.77778
7661.1113,-10.494727,32.833336
7674.074,-10.71973,32.88889
7687.037,-10.838146,32.944447
7700.0,-10.473424,33.0
7712.963,-10.644206,33.055557
7725.926,-11.394559,33.11111
7738.889,-10.950617,33.166668
7751.852,-9.78026,33.222225
7764.815,-10.1622095,33.27778
7777.778,-10.9960785,33.333336
7790.7407,-10.416516,33.38889
7803.7036,-10.458026,33.444447
7816.667,-10.712711,33.500004
7829.63,-10.577066,33.555557
7842.593,-10.3376045,33.611115
7855.5557,-10.252805,33.666668
7868.5186,-10.450991,33.72222
7881.4814,-10.904502,33.77778
7894.4443,-11.212711,33.833332
7907.4077,-10.608948,33.88889
7920.3706,-10.507332,33.944447
7933.3335,-10.952751,34.0
7946.2964,-11.143265,34.055557
7959.2593,-10.507416,34.11111
7972.222,-10.97892,34.166668
7985.185,-11.573082,34.22222
7998.1484,-11.086227,34.27778
8011.1113,-10.765121,34.333336
8024.074,-10.833338,34.38889
8037.037,-10.945253,34.444447
8050.0,-10.836069,34.5
8062.963,-11.131482,34.555557
8075.926,-11.574509,34.61111
8088.889,-11.820582,34.666668
8101.852,-11.986142,34.722225
8114.815,-11.475181,34.77778
8127.778,-11.382273,34.833336
8140.7407,-11.870941,34.88889
8153.7036,-12.094656,34.944447
8166.667,-11.585459,35.000004
8179.63,-11.807408,35.055557
8192.593,-12.318716,35.111115
8205.556,-11.562103,35.166668
8218.519,-11.369666,35.22222
8231.481,-12.135786,35.27778
8244.444,-12.035408,35.333332
8257.407,-11.666537,35.38889
8270.37,-11.706828,35.444443
8283.333,-12.051803,35.5
8296.297,-12.038128,35.555557
8309.26,-11.911608,35.611115
8322.223,-11.85825,35.666668
8335.186,-11.869818,35.722225
8348.148,-12.418957,35.77778
8361.111,-12.527112,35.833336
8374.074,-11.754378,35.88889
8387.037,-11.881152,35.944447
8400.0,-12.740617,36.0
8412.963,-12.281843,36.055557
8425.926,-11.588898,36.11111
8438.889,-12.124046,36.166668
8451.852,-12.703055,36.22222
8464.814,-12.153673,36.27778
8477.778,-12.124296,36.333336
8490.741,-12.274363,36.388893
8503.704,-12.506214,36.444447
8516.667,-12.181281,36.500004
8529.63,-12.003237,36.555557
8542.593,-11.990777,36.611115
8555.556,-12.2563305,36.666668
8568.519,-12.300925,36.72222
8581.481,-11.853241,36.77778
8594.444,-11.753569,36.833332
8607.407,-12.415447,36.88889
8620.37,-11.942167,36.944443
8633.333,-11.370235,37.0
8646.297,-11.917299,37.055557
8659.26,-12.365746,37.111115
8672.223,-11.612749,37.166668
8685.186,-11.664593,37.222225
8698.148,-12.070486,37.27778
8711.111,-11.798319,37.333336
8724.074,-11.612408,37.38889
8737.037,-11.724419,37.444447
8750.0,-12.11267,37.5
8762.963,-11.892175,37.555557
8775.926,-11.667873,37.61111
8788.889,-11.300339,37.666668
8801.852,-11.643024,37.72222
8814.814,-12.101671,37.77778
8827.778,-11.98126,37.833336
8840.741,-11.53747,37.888893
8853.704,-11.873298,37.944447
8866.667,-12.298542,38.000004
8879.63,-11.577669,38.055557
8892.593,-11.622271,38.111115
8905.556,-12.090168,38.166668
8918.519,-12.268462,38.22222
8931.481,-11.758553,38.27778
8944.444,-11.790026,38.333332
8957.407,-12.00412,38.38889
8970.37,-11.936078,38.444443
8983.333,-11.855553,38.5
8996.297,-11.749839,38.555557
9009.26,-11.971399,38.611115
9022.223,-12.331515,38.666668
9035.186,-11.81882,38.722225
9048.148,-11.492232,38.77778
9061.111,-11.937757,38.833336
9074.074,-12.3952055,38.88889
9087.037,-11.866295,38.944447
9100.0,-11.68627,39.0
9112.963,-12.348379,39.055557
9125.926,-12.117753,39.11111
9138.889,-11.784644,39.166668
9151.852,-11.933948,39.22222
9164.814,-12.442941,39.27778
9177.778,-12.179523,39.333336
9190.741,-11.989741,39.388893
9203.704,-12.187405,39.444447
9216.667,-12.262621,39.500004
9229.63,-12.20739,39.555557
9242.593,-11.897631,39.611115
9255.556,-11.965481,39.666668
9268.519,-12.388313,39.72222
9281.481,-12.56135,39.77778
9294.444,-12.111559,39.833332
9307.407,-12.001143,39.88889
9320.37,-12.549535,39.944443
9333.333,-12.326578,40.0
9346.297,-11.801381,40.055557
9359.26,-12.069087,40.111115
9372.223,-12.390043,40.166668
9385.186,-11.975416,40.222225
9398.148,-11.768898,40.27778
9411.111,-12.255749,40.333336
9424.074,-12.150112,40.38889
9437.037,-11.938081,40.444447
9450.0,-11.789092,40.5
9462.963,-11.94512,40.555557
9475.926,-12.2829,40.61111
9488.889,-12.358737,40.666668
9501.852,-11.929829,40.72222
9514.814,-11.830665,40.77778
9527.778,-12.199721,40.833336
9540.741,-12.0005045,40.888893
9553.704,-11.680818,40.944447
9566.667,-11.895828,41.000004
9579.63,-12.2828865,41.055557
9592.593,-11.995238,41.111115
9605.556,-11.761136,41.166668
9618.519,-12.185726,41.22222
9631.481,-12.20024,41.27778
9644.444,-11.86573,41.333332
9657.407,-12.019093,41.38889
9670.37,-12.283941,41.444443
9683.333,-12.213517,41.5
9696.297,-11.986474,41.555557
9709.26,-11.84306,41.611115
9722.223,-11.952044,41.666668
9735.186,-12.312143,41.722225
9748.148,-12.317106,41.77778
9761.111,-12.00256,41.833336
9774.074,-12.184788,41.88889
9787.037,-12.54457,41.944447
9800.0,-12.247807,42.0
9812.963,-12.054661,42.055557
9825.926,-12.315864,42.11111
9838.889,-12.494795,42.166668
9851.852,-12.180596,42.22222
9864.814,-12.313351,42.27778
9877.778,-12.41333,42.333336
9890.741,-12.270461,42.388893
9903.704,-12.092739,42.444447
9916.667,-12.281589,42.500004
9929.63,-12.393113,42.555557
9942.593,-12.500824,42.611115
9955.556,-12.193701,42.666668
9968.519,-11.980362,42.722225
9981.481,-12.1283865,42.77778
9994.444,-12.461569,42.833332
10007.407,-12.184418,42.88889
10020.37,-12.024518,42.944443
10033.333,-12.299129,43.0
10046.297,-12.232141,43.055557
10059.26,-11.915069,43.111115
10072.223,-11.966802,43.166668
10085.186,-12.207221,43.222225
10098.148,-12.005705,43.27778
10111.111,-11.95117,43.333336
10124.074,-12.061832,43.38889
10137.037,-12.1621275,43.444447
10150.0,-12.096791,43.5
10162.963,-12.059055,43.555557
10175.926,-11.906581,43.61111
10188.889,-12.074974,43.666668
10201.852,-12.262093,43.72222
10214.814,-11.999103,43.77778
10227.778,-11.903687,43.833336
10240.741,-12.281755,43.888893
10253.704,-12.318892,43.944447
10266.667,-12.045165,44.000004
10279.63,-12.225657,44.055557
10292.593,-12.5158615,44.111115
10305.556,-12.237783,44.166668
10318.519,-12.167197,44.222225
10331.481,-12.446727,44.27778
10344.444,-12.455054,44.333332
10357.407,-12.199102,44.38889
10370.37,-12.210735,44.444443
10383.333,-12.390299,44.5
10396.297,-12.482177,44.555557
10409.26,-12.6780815,44.611115
10422.223,-12.475039,44.666668
10435.186,-12.393747,44.722225
10448.148,-12.662211,44.77778
10461.111,-12.590199,44.833336
10474.074,-12.321071,44.88889
10487.037,-12.456749,44.944447
10500.0,-15.719346,45.0
